from,to,Freq,weight,from_name,from_Class,from_Gender,from_degree,from_Eigen,from_betweenness,to_name,to_Class,to_Gender,to_degree,to_Eigen,to_betweenness
1,2,27,27,1426,5B,M,83,0.043271465401921116,55.57971399423536,1427,5B,F,47,0.022644310980042968,60.74398589440715
1,3,45,45,1426,5B,M,83,0.043271465401921116,55.57971399423536,1428,5B,M,82,0.030724865519447416,61.880057653283544
2,3,4,4,1427,5B,F,47,0.022644310980042968,60.74398589440715,1428,5B,M,82,0.030724865519447416,61.880057653283544
1,4,75,75,1426,5B,M,83,0.043271465401921116,55.57971399423536,1429,5B,F,64,0.038620083106409686,81.36160617371344
2,4,100,100,1427,5B,F,47,0.022644310980042968,60.74398589440715,1429,5B,F,64,0.038620083106409686,81.36160617371344
3,4,9,9,1428,5B,M,82,0.030724865519447416,61.880057653283544,1429,5B,F,64,0.038620083106409686,81.36160617371344
1,5,19,19,1426,5B,M,83,0.043271465401921116,55.57971399423536,1430,5B,M,37,0.0043821795464104914,21.087889708506683
2,5,4,4,1427,5B,F,47,0.022644310980042968,60.74398589440715,1430,5B,M,37,0.0043821795464104914,21.087889708506683
3,5,4,4,1428,5B,M,82,0.030724865519447416,61.880057653283544,1430,5B,M,37,0.0043821795464104914,21.087889708506683
4,5,9,9,1429,5B,F,64,0.038620083106409686,81.36160617371344,1430,5B,M,37,0.0043821795464104914,21.087889708506683
1,6,43,43,1426,5B,M,83,0.043271465401921116,55.57971399423536,1431,5B,F,71,0.031528241471431614,92.51742937600609
2,6,63,63,1427,5B,F,47,0.022644310980042968,60.74398589440715,1431,5B,F,71,0.031528241471431614,92.51742937600609
3,6,16,16,1428,5B,M,82,0.030724865519447416,61.880057653283544,1431,5B,F,71,0.031528241471431614,92.51742937600609
4,6,75,75,1429,5B,F,64,0.038620083106409686,81.36160617371344,1431,5B,F,71,0.031528241471431614,92.51742937600609
5,6,15,15,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1431,5B,F,71,0.031528241471431614,92.51742937600609
1,7,8,8,1426,5B,M,83,0.043271465401921116,55.57971399423536,1434,5B,F,94,0.061389972994175326,163.22329818962757
2,7,20,20,1427,5B,F,47,0.022644310980042968,60.74398589440715,1434,5B,F,94,0.061389972994175326,163.22329818962757
3,7,2,2,1428,5B,M,82,0.030724865519447416,61.880057653283544,1434,5B,F,94,0.061389972994175326,163.22329818962757
4,7,11,11,1429,5B,F,64,0.038620083106409686,81.36160617371344,1434,5B,F,94,0.061389972994175326,163.22329818962757
5,7,4,4,1430,5B,M,37,0.0043821795464104914,21.087889708506683,1434,5B,F,94,0.061389972994175326,163.22329818962757
6,7,43,43,1431,5B,F,71,0.031528241471431614,92.51742937600609,1434,5B,F,94,0.061389972994175326,163.22329818962757
